index,site_path_timestamp,floor,x,y
0,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000000011,-1,157.16997,136.42146
1,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000011818,-1,157.20146,144.33165
2,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000019825,-1,155.08215,150.23212
3,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000027199,-1,160.7603,164.57616
4,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000033660,-1,160.7603,164.57616
5,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000043214,-1,160.7603,164.57616
6,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000053320,-1,160.19351,156.03638
7,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000059671,-1,158.62456,150.17136
8,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000064822,-1,158.62456,150.17136
9,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000072018,-1,157.16997,136.42146
10,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000084546,-1,157.20146,144.33165
11,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000094486,-1,158.62456,150.17136
12,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000103491,-1,156.25189,156.12854
13,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000112216,-1,167.19789,163.88925
14,5a0546857ecc773753327266_146035943a1482883ed98570_0000000000011,-1,109.42748,141.38824
15,5a0546857ecc773753327266_146035943a1482883ed98570_0000000004535,-1,113.25124,142.41754
16,5a0546857ecc773753327266_146035943a1482883ed98570_0000000011498,-1,113.00673,132.10338
17,5a0546857ecc773753327266_146035943a1482883ed98570_0000000019249,-1,115.98437,125.18158
18,5a0546857ecc773753327266_146035943a1482883ed98570_0000000026531,-1,119.89201,126.656334
