index,site_path_timestamp,floor,x,y
0,5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000000009,0,92.89162482,95.28418813
1,5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000009017,0,83.46627294,99.2613043
2,5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000015326,0,85.33143605,104.6464109
3,5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000018763,0,86.36242714,108.7165989
4,5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000022328,0,86.98277103,112.6063777
5,5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000029946,0,82.66541413,114.7023993
6,5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000040283,0,87.97718648,109.9501761
7,5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000051343,0,80.93386052,106.4132839
8,5a0546857ecc773753327266_046cfa46be49fc10834815c6_0000000064014,0,85.83775438,100.1188206
9,5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000000012,0,84.47301819,12.37085831
10,5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000005748,0,89.79080857,15.60359425
11,5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000014654,0,83.57356167,13.52255853
12,5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000019316,0,77.95796099,13.14520978
13,5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000027660,0,82.79715803,17.93543128
14,5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000034445,0,89.32430428,18.83469364
15,5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000045583,0,90.54878971,15.91562835
16,5a0546857ecc773753327266_05d052dde78384b0c543d89c_0000000058977,0,84.33911055,19.12748188
17,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000000011,-1,152.4304607,134.7447132
18,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000011818,-1,154.3171314,144.3879989
19,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000019825,-1,155.1120031,152.3183331
20,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000027199,-1,157.3462553,161.0338836
21,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000033660,-1,157.9945939,166.7945295
22,5a0546857ecc773753327266_0c06cc9f21d172618d74c6c8_0000000043214,-1,163.2228232,166.3628438
